"Customer Name","MW-BETHESDA HOSPITAL"
"Account Number","0490067501"
"Recorder ID","104804722"
"Service Address1",""
"Service Address2",""
CityStateZip,"","OH",""

"DATE","TIME","kWh","kQh"
"010505","0330","309.96","374.76"
"010505","0345","308.88","370.44"
"010505","0400","309.96","371.52"
"010505","0415","308.88","369.36"
"010505","0430","309.96","370.44"
"010505","0445","311.04","370.44"
"010505","0500","311.04","371.52"
"010505","0515","307.8","367.2"
"010505","0530","321.84","376.92"
"010505","0545","322.92","378"
"010505","0600","320.76","375.84"
"010505","0615","325.08","380.16"
"010505","0630","328.32","384.48"
"010505","0645","339.12","396.36"
"010505","0700","342.36","397.44"
"010505","0715","355.32","408.24"
"010505","0730","357.48","409.32"
"010505","0745","362.88","411.48"
"010505","0800","370.44","414.72"
"010505","0815","373.68","419.04"
"010505","0830","376.92","421.2"
"010505","0845","384.48","428.76"
"010505","0900","386.64","428.76"
"010505","0915","390.96","432"
"010505","0930","395.28","433.08"
"010505","0945","400.68","436.32"
"010505","1000","400.68","434.16"
"010505","1015","400.68","433.08"
"010505","1030","405","437.4"
"010505","1045","406.08","439.56"
"010505","1100","401.76","436.32"
"010505","1115","400.68","436.32"
"010505","1130","401.76","434.16"
"010505","1145","401.76","438.48"
"010505","1200","403.92","439.56"
"010505","1215","406.08","442.8"
"010505","1230","402.84","439.56"
"010505","1245","402.84","438.48"
"010505","1300","403.92","438.48"
"010505","1315","400.68","437.4"
"010505","1330","401.76","438.48"
"010505","1345","403.92","439.56"
"010505","1400","400.68","437.4"
"010505","1415","399.6","436.32"
"010505","1430","395.28","433.08"
"010505","1445","396.36","435.24"
"010505","1500","394.2","436.32"
"010505","1515","390.96","430.92"
"010505","1530","386.64","428.76"
"010505","1545","386.64","429.84"
"010505","1600","384.48","428.76"
"010505","1615","376.92","424.44"
"010505","1630","370.44","416.88"
"010505","1645","371.52","417.96"
"010505","1700","366.12","414.72"
"010505","1715","360.72","412.56"
"010505","1730","355.32","405"
"010505","1745","353.16","408.24"
"010505","1800","348.84","407.16"
"010505","1815","342.36","399.6"
"010505","1830","344.52","398.52"
"010505","1845","345.6","400.68"
"010505","1900","339.12","394.2"
"010505","1915","338.04","398.52"
"010505","1930","338.04","398.52"
"010505","1945","333.72","396.36"
"010505","2000","331.56","390.96"
"010505","2015","331.56","392.04"
"010505","2030","334.8","396.36"
"010505","2045","330.48","392.04"
"010505","2100","330.48","397.44"
"010505","2115","333.72","401.76"
"010505","2130","331.56","397.44"
"010505","2145","327.24","389.88"
"010505","2200","325.08","389.88"
"010505","2215","326.16","393.12"
"010505","2230","318.6","384.48"
"010505","2245","319.68","384.48"
"010505","2300","320.76","386.64"
"010505","2315","320.76","380.16"
"010505","2330","319.68","382.32"
"010505","2345","318.6","383.4"
"010505","2400","317.52","382.32"
"010605","0015","318.6","381.24"
"010605","0030","315.36","380.16"
"010605","0045","317.52","380.16"
"010605","0100","315.36","379.08"
"010605","0115","316.44","381.24"
"010605","0130","313.2","375.84"
"010605","0145","315.36","381.24"
"010605","0200","313.2","378"
"010605","0215","314.28","375.84"
"010605","0230","311.04","373.68"
"010605","0245","312.12","373.68"
"010605","0300","312.12","373.68"
"010605","0315","311.04","372.6"
"010605","0330","312.12","372.6"
"010605","0345","311.04","371.52"
"010605","0400","312.12","372.6"
"010605","0415","313.2","374.76"
"010605","0430","313.2","372.6"
"010605","0445","314.28","371.52"
"010605","0500","313.2","371.52"
"010605","0515","314.28","370.44"
"010605","0530","313.2","369.36"
"010605","0545","322.92","373.68"
"010605","0600","327.24","380.16"
"010605","0615","325.08","381.24"
"010605","0630","330.48","381.24"
"010605","0645","341.28","398.52"
"010605","0700","341.28","396.36"
"010605","0715","347.76","402.84"
"010605","0730","352.08","405"
"010605","0745","358.56","406.08"
"010605","0800","366.12","413.64"
"010605","0815","372.6","420.12"
"010605","0830","379.08","423.36"
"010605","0845","385.56","429.84"
"010605","0900","385.56","430.92"
"010605","0915","392.04","434.16"
"010605","0930","394.2","430.92"
"010605","0945","400.68","439.56"
"010605","1000","399.6","436.32"
"010605","1015","402.84","438.48"
"010605","1030","401.76","437.4"
"010605","1045","402.84","439.56"
"010605","1100","408.24","441.72"
"010605","1115","406.08","440.64"
"010605","1130","405","438.48"
"010605","1145","406.08","441.72"
"010605","1200","405","439.56"
"010605","1215","409.32","444.96"
"010605","1230","409.32","443.88"
"010605","1245","407.16","441.72"
"010605","1300","402.84","437.4"
"010605","1315","409.32","442.8"
"010605","1330","399.6","435.24"
"010605","1345","407.16","441.72"
"010605","1400","402.84","439.56"
"010605","1415","402.84","438.48"
"010605","1430","399.6","437.4"
"010605","1445","393.12","432"
"010605","1500","394.2","430.92"
"010605","1515","387.72","425.52"
"010605","1530","385.56","422.28"
"010605","1545","389.88","428.76"
"010605","1600","392.04","430.92"
"010605","1615","388.8","428.76"
"010605","1630","379.08","421.2"
"010605","1645","379.08","422.28"
"010605","1700","375.84","420.12"
"010605","1715","372.6","419.04"
"010605","1730","365.04","410.4"
"010605","1745","357.48","403.92"
"010605","1800","352.08","400.68"
"010605","1815","355.32","405"
"010605","1830","346.68","398.52"
"010605","1845","347.76","398.52"
"010605","1900","341.28","392.04"
"010605","1915","343.44","390.96"
"010605","1930","340.2","392.04"
"010605","1945","336.96","385.56"
"010605","2000","327.24","385.56"
"010605","2015","330.48","381.24"
"010605","2030","327.24","381.24"
"010605","2045","327.24","384.48"
"010605","2100","326.16","383.4"
"010605","2115","325.08","385.56"
"010605","2130","324","383.4"
"010605","2145","322.92","383.4"
"010605","2200","317.52","376.92"
"010605","2215","325.08","388.8"
